,low_range,high_range,rebalance,compound,$Fees Accrued,$Fees Compounded,$Final Position,Rebalnces,$Total Profit,%Fee APR,%Total APR
2,0.05,0.05,True,False,143.54866415643679,3954.4820641213323,3069.057336396781,85,2212.6060005532217,3118.9182606180198,1683.9642541134929
3,0.05,0.05,True,True,32.66940715579309,3491.7490743788726,2600.257017699566,86,1632.9264248553632,2682.3549868152736,1242.7832738256334
47,0.1,0.5,True,True,23.88458042351565,88.3252532740022,1658.4711517425858,4,682.3557321661028,85.40035996440118,519.3254746980946
46,0.1,0.5,True,False,69.32808247397152,63.43768468426864,1590.8985782800514,4,660.2266607540244,101.04501479636711,502.48354024372384
71,0.15,0.5,True,True,12.799673350345898,73.9894908904612,1525.806387162423,4,538.6060605127706,66.05326487832069,409.92085926080597
70,0.15,0.5,True,False,52.19254692283532,48.87893745615581,1469.282909987451,4,521.4754569102878,76.9232148705442,396.88314531139247
95,0.2,0.5,True,True,10.831002955012767,71.46137738628829,1504.2144743033004,3,515.0454772583134,62.63086462118135,391.98943360406827
94,0.2,0.5,True,False,39.92564379280577,46.36259028760974,1461.1961585148447,3,501.12180230765057,65.67201829230584,381.39244033145263
6,0.05,0.1,True,False,26.85190579655969,1279.1585014858408,1433.0608469255542,56,459.9127527221217,993.9749059768825,350.0291671455966
22,0.05,0.5,True,False,75.30227377608077,73.24447703505643,1374.074210030051,13,449.37648380613234,113.05556360604366,342.0102517933729
23,0.05,0.5,True,True,11.338717107749108,123.46020642235072,1430.6363861168386,13,441.9751032245882,102.59240400726979,336.377228865977
119,0.3,0.5,True,True,0.7228893933993674,57.07823113592311,1401.8288114387633,3,402.5517008321631,43.99112214047482,306.37297126757164
118,0.3,0.5,True,False,26.02945105897788,32.02424726404601,1374.9715877049662,3,401.0010387639445,44.18335337182359,305.1927975301612
7,0.05,0.1,True,True,23.95990382694294,1212.9577424291106,1355.822892586869,56,379.7827964138198,941.3899723026162,289.0440744209459
42,0.1,0.3,True,False,29.583850065992895,196.8275687925883,1338.3851157467977,10,367.96896581279043,172.3165968028819,280.0528358401428
43,0.1,0.3,True,True,3.6362069181578427,218.3904491183619,1359.756539890161,10,363.39274680831863,168.97945324760315,276.5699793258793
26,0.1,0.05,True,False,57.95780842867648,1067.7393025936829,1264.0566602135125,54,322.0144686421904,856.7425449657586,245.07791010474298
90,0.2,0.3,True,False,17.048892497067925,121.51360802745636,1302.0263568166374,6,319.0752493137056,105.45677711510277,242.84093692337632
91,0.2,0.3,True,True,16.911273130077618,118.47536617739902,1291.5163460895103,6,308.4276192195882,103.03970115842705,234.73726710370053
143,0.5,0.5,True,True,13.275536835315178,17.390078442515076,1271.9508597543781,3,285.2263965896934,23.338904416489402,217.07934266947993
142,0.5,0.5,True,False,13.275536835315178,17.390078442515076,1271.9508597543781,3,285.2263965896934,23.338904416489402,217.07934266947993
110,0.3,0.2,True,False,46.02781126474227,65.19109289141156,1215.5527213073792,7,261.58053257212237,84.64618596072184,199.08301175775793
111,0.3,0.2,True,True,17.43380710571103,90.2362376847708,1243.0093401353304,7,260.4431472410424,81.94522957120952,198.2173735735477
27,0.1,0.05,True,True,1.5016910982411067,1063.3663732534117,1250.7618806120904,52,252.26357171033283,810.4469369001295,191.9920841166393
115,0.3,0.3,True,True,0.557364831455561,85.30474991899732,1249.1291971561677,5,249.68656198762324,65.34770853292503,190.0307804527871
114,0.3,0.3,True,False,25.639645191064968,60.276187759771915,1223.6040840976336,5,249.24372928869866,65.38859223712694,189.69375052728063
20,0.05,0.5,False,False,34.40176156158263,0.0,1195.4303229492075,0,229.83208451079065,26.182400632446917,174.9199878639902
21,0.05,0.5,False,True,7.451611282917746,25.02022421785292,1213.6769650990918,0,221.12857638201024,24.71357767043885,168.29594518735107
86,0.2,0.2,True,False,74.32191102769681,105.45756445730707,1140.4322745062223,9,214.75418553392,136.82608212412123,163.4445408581356
103,0.3,0.1,True,True,1.058063855370437,144.30867178847473,1212.0367635889124,12,213.0948274442842,110.63532617203174,162.18164104360832
87,0.2,0.2,True,True,8.171814460075726,154.52448547704114,1204.5494673032795,9,212.72128176335605,123.82446459158513,161.89734389635103
102,0.3,0.1,True,False,63.815941437727176,94.11313241759665,1148.3879708276572,12,212.20391226538572,120.19623692203636,161.50358570328248
38,0.1,0.2,True,False,42.00761918088163,297.176973946261,1166.7420744138817,17,208.7496935947663,258.1457025016315,158.87465820070878
30,0.1,0.1,True,False,32.904515290088625,617.4981611691137,1173.5460509145732,30,206.45056620466505,495.0067285649549,157.12484447896367
39,0.1,0.2,True,True,14.643382861337733,319.40856802640377,1188.5218212742939,17,203.16520413563467,254.23936488067974,154.62442990687794
44,0.1,0.5,False,False,30.202954553344842,0.0,1172.8806703012206,0,203.08362485456678,22.986783830347623,154.56234176594327
0,0.05,0.05,False,False,181.92809776373173,0.0,1012.0463788272934,0,193.97447659102932,138.46134981844452,147.62957558100987
45,0.1,0.5,False,True,4.224072043563376,25.013940465154416,1189.4849927767882,0,193.70906482035298,22.252388321144068,147.4275767008075
14,0.05,0.2,True,False,61.105738632283895,425.3645474551462,1129.7291672208498,28,190.8349058531354,370.2415035730577,145.2401194850972
106,0.3,0.15,True,False,38.45688795953629,91.4489907459854,1144.8237483392227,9,183.28063629875965,98.8684185456447,139.49073622737927
107,0.3,0.15,True,True,12.159102275764006,116.53105606847332,1171.0113294535663,9,183.17043172933109,97.94316134626582,139.40686202857873
68,0.15,0.5,False,False,25.735325540251353,0.0,1154.9964630286804,0,180.7317885689332,19.586572696142674,137.55086601771134
8,0.05,0.15,False,False,127.74909254461421,0.0,1052.3232743202598,0,180.07236686487522,97.22693750571867,137.04899511175577
69,0.15,0.5,False,True,0.29428513803854933,25.008934530402136,1179.6897423060386,0,179.9840274440786,19.257706715511794,136.98176198176637
31,0.1,0.1,True,True,7.015367915014568,609.5369557799278,1172.9327892785095,30,179.94815719352744,469.2439926644407,136.95446194746356
1,0.05,0.05,False,True,12.195683520012407,154.65508084860994,1166.6084632161633,0,178.80414673617975,126.98633326404324,136.08378152988195
12,0.05,0.2,False,False,104.01966385608654,0.0,1073.4193192387154,0,177.43898309480358,79.16700741783836,135.0447864387908
16,0.05,0.3,False,False,62.05892732997496,0.0,1115.2126781636746,0,177.27160549364976,47.23164234670555,134.91739914199584
19,0.05,0.3,True,True,3.746175634345811,250.1286157432416,1169.0931548269073,23,172.8393304612532,193.21834686947577,131.5440951208148
18,0.05,0.3,True,False,25.7228403613716,244.16113646991028,1146.3877317219853,24,172.11057208335728,205.40257489505035,130.98945364467508
17,0.05,0.3,False,True,8.921697682333559,50.10237356942012,1162.414151360979,0,171.33584904331292,44.92188220376737,130.3998295064658
15,0.05,0.2,True,True,6.740446327543521,467.5166417282867,1157.4014722910642,28,164.14191861860957,360.94631549687915,124.92469218931556
13,0.05,0.2,False,True,15.317359973246893,75.13582766191993,1148.37976372429,0,163.6971236975386,68.84186999861537,124.5861688610287
4,0.05,0.1,False,False,130.58937457393338,0.0,1031.4895794646059,0,162.07895403854695,99.38861175218635,123.35461662707925
93,0.2,0.5,False,True,21.226879260658144,0.0,1140.465544619743,0,161.6924238804013,16.155296465974402,123.06043728864601
92,0.2,0.5,False,False,21.226879260658144,0.0,1140.465544619743,0,161.6924238804013,16.155296465974402,123.06043728864601
138,0.5,0.3,True,False,11.685779724863833,29.160752405645027,1149.6776118996877,5,161.3633916245517,31.087369371264792,122.81001829983259
139,0.5,0.3,True,True,11.685779724863833,29.160752405645027,1149.6776118996877,5,161.3633916245517,31.087369371264792,122.81001829983259
63,0.15,0.2,True,True,3.6064659281375326,201.14040134626046,1153.5883494029317,12,157.19481533107205,155.82819785610175,119.63740940922632
135,0.5,0.2,True,True,19.445764738232857,29.38010670070909,1133.3237399612915,7,152.7695046995251,37.16026357994195,116.26940583560737
134,0.5,0.2,True,False,19.445764738232857,29.38010670070909,1133.3237399612915,7,152.7695046995251,37.16026357994195,116.26940583560737
9,0.05,0.15,False,True,1.2723529282089399,100.6823656854433,1150.0096066002925,0,151.2819595285025,77.59542441838356,115.13726893741818
40,0.1,0.3,False,False,50.779111191343674,0.0,1097.796808208701,0,148.5759194000443,38.64683006395921,113.07776315763579
41,0.1,0.3,False,True,24.619659768779194,25.033838810511696,1121.0816595784145,0,145.70131934719348,37.790151829243094,110.889970241652
62,0.15,0.2,True,False,28.593182336575357,191.63465578926463,1113.5389191732188,13,142.13210150979694,167.61041372566143,108.17351948095782
5,0.05,0.1,False,True,8.768967116914432,100.71600341349674,1130.813394151059,0,139.582361267981,83.32652839673408,106.23297000065364
36,0.1,0.2,False,False,78.40575412978406,0.0,1059.6531968814543,0,138.05895101124133,59.67284154447527,105.07353699899892
116,0.3,0.5,False,False,14.965339601149429,0.0,1118.2867744166253,0,133.25211401777528,11.389780617382192,101.41516236278991
117,0.3,0.5,False,True,14.965339601149429,0.0,1118.2867744166253,0,133.25211401777528,11.389780617382192,101.41516236278991
32,0.1,0.15,False,False,91.62943059877179,0.0,1040.9701110243536,0,132.5995416231267,69.7370818458073,100.91850431091149
65,0.15,0.3,False,True,16.16546296412584,25.03490703159718,1111.478200596677,0,127.64366356080336,31.356667346875224,97.14669789684083
64,0.15,0.3,False,False,41.25862939662675,0.0,1084.9548030903861,0,126.21343248701328,31.401007255816726,96.05818145840458
37,0.1,0.2,False,True,13.749951238863822,50.356136192821765,1107.1139942304956,0,120.8639454693623,48.789689478850335,91.98680819388504
24,0.1,0.05,False,False,109.2554367981557,0.0,1007.9661537406312,0,117.22159053878818,83.15183547800565,89.21469445002484
28,0.1,0.1,False,False,92.59397056600383,0.0,1023.2423086524495,0,115.83627921845675,70.47117134302314,88.16036541734877
67,0.15,0.3,True,True,3.789562869071546,133.91542018970102,1110.3363962976307,10,114.12595916670261,104.8041400169286,86.858679609063
51,0.15,0.05,True,True,19.763325579928505,538.2287986916006,1094.0193391825023,35,113.78266476243243,424.6751527904955,86.59740602249433
33,0.1,0.15,False,True,24.108077610341788,50.36435856705469,1088.7228742723903,0,112.83095188273342,56.67928244257115,85.8730789307338
29,0.1,0.1,False,True,12.023827542287428,75.33890305980829,1099.7940600788622,0,111.81788762115286,66.48979322974466,85.1020586934233
60,0.15,0.2,False,False,61.06395366051677,0.0,1050.2342710580667,0,111.2982247185862,46.474390448838264,84.70655504212142
10,0.05,0.15,True,False,9.143975312418876,691.7119856658243,1099.2820068854526,43,108.4259821978726,533.4055793370475,82.52055639038792
66,0.15,0.3,True,False,61.09653404332608,83.49531926393516,1047.2822116607433,10,108.37874570406984,110.04558079683831,82.48460576608622
88,0.2,0.3,False,False,32.57432198418302,0.0,1075.0939777316812,0,107.66829971586435,24.791577808987256,81.9439014344893
25,0.1,0.05,False,True,24.97333072970762,75.48965365198714,1082.4510928421942,0,107.42442357190316,76.46009932090766,81.75829283143987
56,0.15,0.15,False,False,68.74909912962158,0.0,1033.6653625471442,0,102.41446167676622,52.32338039752262,77.9453244386162
89,0.2,0.3,False,True,5.156926219425909,25.002279589954934,1094.7561989432288,0,99.91312516265498,22.953487653360227,76.04161393786775
61,0.15,0.2,False,True,2.524455422229876,50.140996686668174,1095.9353045529685,0,98.45975997520122,40.08248136176787,74.9354906501099
140,0.5,0.5,False,False,8.33637440054938,0.0,1089.8979485566356,0,98.23432295718499,6.344625521182673,74.76391564769249
141,0.5,0.5,False,True,8.33637440054938,0.0,1089.8979485566356,0,98.23432295718499,6.344625521182673,74.76391564769249
127,0.5,0.1,True,True,24.032808851122606,37.518115897769604,1073.4983287710706,12,97.53113762219414,46.84501310167647,74.22873723461524
126,0.5,0.1,True,False,24.032808851122606,37.518115897769604,1073.4983287710706,12,97.53113762219414,46.84501310167647,74.22873723461524
131,0.5,0.15,True,True,15.245137563873737,38.56066642339787,1078.5055896205854,9,93.75072718445915,40.95037731785398,71.35155257479255
130,0.5,0.15,True,False,15.245137563873737,38.56066642339787,1078.5055896205854,9,93.75072718445915,40.95037731785398,71.35155257479255
11,0.05,0.15,True,True,9.006068923825126,680.9468400776658,1082.7030019739045,42,91.70907089773073,525.107513714428,69.79769427142676
84,0.2,0.2,False,False,45.403789914925426,0.0,1043.384143186514,0,88.78793310144033,34.55579493090766,67.57448253419791
52,0.15,0.1,False,False,67.90606317578077,0.0,1018.4184332717537,0,86.32449644753615,51.68176484968207,65.6996167576384
57,0.15,0.15,False,True,2.5921531305786942,50.330437798348925,1083.342503049354,0,85.9346561799332,40.278183886829375,65.40291816995789
48,0.15,0.05,False,False,77.31336617745784,0.0,1005.9506208664948,0,83.2639870439541,58.84144984487677,63.37033245048124
113,0.3,0.3,False,True,21.047036239111918,0.0,1060.945836999625,0,81.99287323873705,16.018422020384047,62.402916557023154
112,0.3,0.3,False,False,21.047036239111918,0.0,1060.945836999625,0,81.99287323873705,16.018422020384047,62.402916557023154
85,0.2,0.2,False,True,17.160283334624495,25.004903270667235,1064.0967922676145,0,81.25707560223987,32.09096739030025,61.842917660783826
49,0.15,0.05,False,True,23.01841491328873,50.04187502403799,1055.9467491525647,0,78.9651640658551,55.60452996098898,60.09859576167609
80,0.2,0.15,False,False,49.99371307811579,0.0,1028.571261635405,0,78.56497471352134,38.04908136961724,59.79402072028211
53,0.15,0.1,False,True,11.309349644428593,50.05535311001498,1065.948533859092,0,77.25788350352241,46.7032837644593,58.79922323986598
81,0.2,0.15,False,True,17.63070590268157,25.105657271590147,1051.8364384122929,0,69.46714431497469,32.52567692498874,52.86986830574965
50,0.15,0.05,True,False,26.755621432216497,558.7193019982345,1042.0763887381554,38,68.83201017037345,445.5916880322119,52.38648211055364
108,0.3,0.2,False,False,27.6576858310019,0.0,1034.0875410751178,0,61.74522690612048,21.049637522117884,46.99289206756002
76,0.2,0.1,False,False,46.14351367268259,0.0,1015.2527650531711,0,61.39627872585481,35.11878190900955,46.727315520285735
109,0.3,0.2,False,True,1.2659627763926768,25.03427329428981,1058.3858385406736,0,59.65180131706711,20.01651329097991,45.39963332211194
136,0.5,0.3,False,False,10.638782827266592,0.0,1044.265923715517,0,54.90470654278374,8.096936365495688,41.786727134212484
137,0.5,0.3,False,True,10.638782827266592,0.0,1044.265923715517,0,54.90470654278374,8.096936365495688,41.786727134212484
72,0.2,0.05,False,False,49.82421804982647,0.0,1004.749053191528,0,54.573271241356906,37.920082547044395,41.53447924190163
77,0.2,0.1,False,True,14.539163900375877,25.10661991514923,1039.7466899836102,0,54.285853883987215,30.173507056820185,41.315732408664516
104,0.3,0.15,False,False,28.78425904497574,0.0,1021.9334937807147,0,50.71775282569115,21.90704684917356,38.60013160321935
105,0.3,0.15,False,True,1.816322517055789,25.058973676939814,1046.708576639593,0,48.52489915664955,20.454178510808138,36.9312004007168
73,0.2,0.05,False,True,18.985462641478485,25.167646204066916,1029.123096811993,0,48.10855945347407,33.603929929363915,36.61433369352162
122,0.5,0.05,True,False,19.72567166483595,50.41240425445963,1027.813696943485,22,47.539368608321865,53.38049913579754,36.18113544821024
123,0.5,0.05,True,True,19.72567166483595,50.41240425445963,1027.813696943485,22,47.539368608321865,53.38049913579754,36.18113544821024
133,0.5,0.2,False,True,12.955442310311422,0.0,1023.8612787525819,0,36.81672106289409,9.860093365623642,28.02037154743288
132,0.5,0.2,False,False,12.955442310311422,0.0,1023.8612787525819,0,36.81672106289409,9.860093365623642,28.02037154743288
