,low_range,high_range,rebalance,compound,$Fees Accrued,$Fees Compounded,$Final Position,Rebalnces,$Total Profit,%Fee APR,%Total APR
0,0.05,0.05,False,False,297.1437370168786,0.0,1012.0463788272964,0,309.19011584417626,255.44446872108534,265.80033511236377
1,0.05,0.05,False,True,7.372407131036673,282.4383289291273,1294.554741191953,0,301.9271483229909,249.14053463072017,259.55660640916614
4,0.05,0.1,False,False,201.04017472612668,0.0,1031.26130764459,0,232.30148237071865,172.827471109016,199.70176502134439
5,0.05,0.1,False,True,2.397630748643933,189.65258402755882,1219.8998726778887,0,222.2975034265345,165.09910514617658,191.10168106147654
8,0.05,0.15,False,False,153.8981939513963,0.0,1044.6449183889126,0,198.54311234031343,132.3010970573344,170.6808306281799
9,0.05,0.15,False,True,15.758513609481588,130.091172099522,1174.1271340383275,0,189.88564764781358,125.38206543777008,163.2382996462075
24,0.1,0.05,False,False,169.26718127376358,0.0,1007.9661537406281,0,177.23333501439606,145.51329813132241,152.36153235781316
12,0.05,0.2,False,False,112.44942280684837,0.0,1052.6274982609852,0,165.07692106783463,96.6689836887137,141.91107247833492
21,0.05,0.5,False,True,13.764270784323426,50.23881052430942,1151.0908442477466,0,164.85511503207022,55.02129462842235,141.72039329547943
13,0.05,0.2,False,True,6.180354279144613,103.40522610636593,1158.5613219717816,0,164.7416762509273,94.20703475731827,141.62287379373154
28,0.1,0.1,False,False,137.3161852952598,0.0,1023.0738223091013,0,160.3900076043633,118.04610237355038,137.88189073741174
20,0.05,0.5,False,False,84.67302396345461,0.0,1069.9430323040099,0,154.61605626746473,72.79054856917199,132.91821912688826
17,0.05,0.3,False,True,3.0683680528423927,75.85442806555113,1148.1050694704595,0,151.17343752330714,67.84727124603835,129.95871567263762
32,0.1,0.15,False,False,109.41428306721755,0.0,1034.957813455472,0,144.37209652269075,94.05977621872687,124.11183175061555
16,0.05,0.3,False,False,82.14006166728865,0.0,1061.7112238620389,0,143.8512855293328,70.6130461438128,123.66410807035939
45,0.1,0.5,False,True,5.9429912954779605,50.24730960903652,1135.4513760593436,0,141.3943673548216,48.30491029671707,121.55197821670632
25,0.1,0.05,False,True,24.027951712668315,103.80777621443704,1109.4181105407235,0,133.44606225339612,109.89607229062294,114.71908786454905
44,0.1,0.5,False,False,69.63126074706437,0.0,1061.8726824227779,0,131.50394316984227,59.85965104458135,113.04951346102241
