,low_range,high_range,rebalance,compound,$Fees Accrued,$Fees Compounded,$Final Position,Rebalnces,$Total Profit,%Fee APR,%Total APR
2,0.05,0.05,True,False,412.94401899001474,10168.189471542728,5220.392049394125,92,4633.336068384141,8053.060762560112,3526.327016424423
3,0.05,0.05,True,True,16.00765266912034,7600.262302411717,3693.765302879105,82,2709.7729555482265,5796.570356777428,2062.346749835142
0,0.05,0.05,False,False,1175.5500792383323,0.0,855.3536731714013,0,1030.9037524097344,894.6845086123196,784.5974692536299
4,0.05,0.1,False,False,747.6972148425577,0.0,851.9968449897821,0,599.694059832342,569.0553954839982,456.4135503154931
24,0.1,0.05,False,False,651.6037822203573,0.0,874.6117509331897,0,526.215533153548,495.92086292357396,400.49070985448185
1,0.05,0.05,False,True,24.090799596195527,548.8809153440383,1478.401906974395,0,502.4927065705913,436.0757795722374,382.4358044794426
8,0.05,0.15,False,False,521.0628202541817,0.0,850.3416980258299,0,371.40451828001574,396.5690969093527,282.6675569185883
28,0.1,0.1,False,False,489.2964289703563,0.0,867.9848631907124,0,357.2812921610689,372.39241683582287,271.9186897767996
5,0.05,0.1,False,True,23.37885867579225,356.6583598566526,1295.6873637796484,0,319.0662224554428,289.2377093261706,242.83406678624542
48,0.15,0.05,False,False,403.8160265994272,0.0,896.7651369896739,0,300.5811635891016,307.33522093926877,228.76550764904704
9,0.05,0.15,False,True,9.22883767295468,303.3619891440476,1245.536855508949,0,254.76569318190764,237.90579000147272,193.89639203071417
12,0.05,0.2,False,False,403.76588204258013,0.0,849.3572873238827,0,253.12316936646516,307.29705705412766,192.64630440054214
32,0.1,0.15,False,False,376.9027791596859,0.0,864.118954323069,0,241.02173348275505,286.8521585959035,183.436175960811
25,0.1,0.05,False,True,3.4897449139273493,279.5893019666109,1229.931271952631,0,233.4210168665595,215.44504349900237,177.65144289757285
52,0.15,0.1,False,False,335.63308012051107,0.0,887.843870629336,0,223.47695074984836,255.44272648615814,170.08323966713064
13,0.05,0.2,False,True,4.955268325069855,277.20418417059267,1200.0661409247136,0,205.02140924978585,214.74516106533534,156.0371455280737
72,0.2,0.05,False,False,275.78067440607015,0.0,917.3662072013101,0,193.14688160738035,209.89041770609685,146.99971180544327
29,0.1,0.1,False,True,6.01197077721861,226.54742090550096,1172.488063955386,0,178.50003473260495,176.9956795083079,135.8523287799843
36,0.1,0.2,False,False,308.85493775989517,0.0,861.5899872277452,0,170.44492498764043,235.06248955488115,129.72176741022855
33,0.1,0.15,False,True,12.706659198260962,201.3003918683313,1147.941434646127,0,160.6480938443881,162.8759137570242,122.2656213793953
56,0.15,0.15,False,False,270.41354191419987,0.0,882.1240198444543,0,152.53756175865487,205.80561487127648,116.09287932283385
49,0.15,0.05,False,True,5.070715541112464,201.63935345374995,1144.955091461749,0,150.02580700286194,157.32234616811428,114.1812397345848
16,0.05,0.3,False,False,298.33101348745305,0.0,848.2426615182263,0,146.5736750056809,227.05296943093768,111.55390035184767
76,0.2,0.1,False,False,239.01735223990252,0.0,906.9767724077694,0,145.99412464767238,181.91068684809272,111.1128177162129
17,0.05,0.3,False,True,11.469171592498077,150.66796311748018,1112.6787220758833,0,124.14789366838284,123.3988966168038,94.48614670156692
53,0.15,0.1,False,True,16.335785206059313,151.36615940860963,1104.432333368931,0,120.76811857499138,127.63414724800188,91.9138765175435
60,0.15,0.2,False,False,236.23269944727272,0.0,878.1514955473706,0,114.38419499464362,179.791350752225,87.05521704197031
26,0.1,0.05,True,False,37.386610712193374,1944.6398587816718,1073.8355705588292,58,111.22218127102383,1508.4754016304323,84.64868009853778
37,0.1,0.2,False,True,7.708746335788778,150.96581938595529,1100.0655027566386,0,107.77424909242768,120.76361387684433,82.02453710249058
80,0.2,0.15,False,False,205.93564346263526,0.0,899.8776258013679,0,105.81326926400322,156.73294845635837,80.53207982212584
40,0.1,0.3,False,False,241.81371154405386,0.0,858.4897383182165,0,100.30344986227055,184.03893250442331,76.33868121576805
57,0.15,0.15,False,True,3.733950666985273,150.8216352875681,1096.5127446175416,0,100.2466952845275,117.62875177774879,76.29548659361092
73,0.2,0.05,False,True,14.10559861468381,125.60507023963606,1082.4191049716396,0,96.52470358632365,106.33062199512095,73.46276311174589
41,0.1,0.3,False,True,0.8742801023770265,125.65266856998419,1094.9874041690393,0,95.8616842714166,96.29679151780057,72.95815414575236
96,0.3,0.05,False,False,146.70832679345241,0.0,941.1375722529873,0,87.84589904644042,111.65638077416544,66.8575217764395
61,0.15,0.2,False,True,5.058952334258838,125.40292303621416,1077.5208020945047,0,82.57975442876386,99.29157499959545,62.84957852267346
84,0.2,0.2,False,False,182.55066846644706,0.0,894.7222155464924,0,77.2728840129405,138.93517426290862,58.81063978743349
65,0.15,0.3,False,True,7.562725801143333,100.304219330356,1066.6961002949251,0,74.25882609606901,82.09508595585878,56.516708653480876
77,0.2,0.1,False,True,14.411423579119466,100.49837492538919,1059.6953095007807,0,74.10673307990055,87.45524195477812,56.40095410772625
100,0.3,0.1,False,False,139.8219551395625,0.0,930.7734120243863,0,70.59536716394916,106.4153194632987,53.72853313259729
81,0.2,0.15,False,True,9.283693974866123,100.3743897648603,1060.441337022547,0,69.72503099741323,83.45828093483958,53.06614001193223
64,0.15,0.3,False,False,194.30763069518693,0.0,873.0105078798242,0,67.31813857501152,147.88313161510325,51.23430876777595
21,0.05,0.5,False,True,5.454677036537287,125.33343066746255,1058.348568846299,0,63.80324588283679,99.53986303101989,48.559203643236366
85,0.2,0.2,False,True,7.3719751947179235,100.2833883763141,1050.4801489739125,0,57.85212416863146,81.93405602799665,44.02993985379776
89,0.2,0.3,False,True,11.270181533324406,75.16196313233877,1045.3064882466813,0,56.57666978000657,65.78154537543094,43.05922044073483
97,0.3,0.05,False,True,7.177992776068396,75.18891807569581,1046.258011870479,0,53.43600464654821,62.68758810264595,40.66893142517486
104,0.3,0.15,False,False,126.43028014446723,0.0,923.1383794030705,0,49.56865954753766,96.22321929326958,37.72558276598001
45,0.1,0.5,False,True,5.159595953116913,100.27867974519924,1043.7793242874593,0,48.938920240577886,80.24668072261086,37.246302459379926
101,0.3,0.1,False,True,3.6443017210627358,75.20594538361925,1042.961611483555,0,46.605913204618105,60.011135068376575,35.47070370742439
88,0.2,0.3,False,False,157.1150755593683,0.0,887.7420718001313,0,44.85714735950046,119.57672127715617,34.1397576776042
109,0.3,0.2,False,True,6.886381060283378,75.08015327715111,1036.0154958778915,0,42.90187693817552,62.38287061650101,32.65164569751675
105,0.3,0.15,False,True,6.71048620502979,75.1165622157589,1029.6328206453786,0,36.34330685040845,62.27671104831529,27.660066725419462
108,0.3,0.2,False,False,117.48602661603664,0.0,917.2817407865298,0,34.76776740256719,89.41595075208355,26.460959378495982
69,0.15,0.5,False,True,18.08852316047023,75.2372966439083,1014.5224795443198,0,32.61100270479028,71.0281652029849,24.81949467367184
120,0.5,0.05,False,False,61.8415296043391,0.0,962.6351545605919,0,24.4766841649315,47.066185867420565,18.628649286255435
93,0.2,0.5,False,True,17.723449175711174,50.203085847249795,1006.4942547559231,0,24.21770393163456,51.697345508352576,18.431545303311797
141,0.5,0.5,False,True,3.8617744552629887,25.01714822395335,1014.2299829340038,0,18.09175738926706,21.979093194607746,13.769226301475191
143,0.5,0.5,True,True,3.8617744552629887,25.01714822395335,1014.2299829340038,0,18.09175738926706,21.979093194607746,13.769226301475191
124,0.5,0.1,False,False,62.577866226976056,0.0,954.2039494930552,0,16.781815720031773,47.62659497378892,12.772259401171015
112,0.3,0.3,False,False,105.88729375510164,0.0,908.8921162435855,0,14.779409998687129,80.58841818372636,11.248273813075519
121,0.5,0.05,False,True,16.847784139271663,25.044846924151006,995.9873899507309,0,12.835174090003079,31.88353154783516,9.768559950341183
113,0.3,0.3,False,True,17.244968927171815,50.09664006337744,994.5127449668576,0,11.757713894029393,51.25217156882811,8.948529427601866
20,0.05,0.5,False,False,164.31649305176515,0.0,847.2452705118343,0,11.561763563599925,125.0575568317518,8.799396074468756
117,0.3,0.5,False,True,6.6021491881261465,50.08276675087623,1002.3657311401807,0,8.96788032830716,43.141604137763764,6.825250362812401
128,0.5,0.15,False,False,60.170226410976554,0.0,947.5220659372687,0,7.69229234824536,45.79419490531317,5.854429276336174
125,0.5,0.1,False,True,18.46641662791415,25.029744174375725,986.5283780049929,0,4.994794632907428,33.103941670552516,3.8014249334725534
132,0.5,0.2,False,False,58.23288636187547,0.0,942.0972185505709,0,0.3301049124468136,44.31972932493739,0.25123536342607194
44,0.1,0.5,False,False,141.47455870538442,0.0,855.4774629674647,0,-3.047978327149167,107.67307856291656,-2.3197471890379453
129,0.5,0.15,False,True,19.782389602318652,25.04646390956608,974.5902882303167,0,-5.627322167364582,34.11822387177326,-4.282827296795285
136,0.5,0.3,False,False,55.98530903750049,0.0,933.8269054821832,0,-10.187785480316506,42.60914918927056,-7.753692511518034
68,0.15,0.5,False,False,121.61007904709497,0.0,867.7012531607401,0,-10.688667792164779,92.55467354062138,-8.134902681091527
133,0.5,0.2,False,True,20.222040538556755,25.00831568212925,966.119358295776,0,-13.658601165666823,34.42379847899301,-10.395251625650863
92,0.2,0.5,False,False,102.8464761948908,0.0,880.1042606769207,0,-17.049263128188272,78.27412089202811,-12.975807558899154
6,0.05,0.1,True,False,36.89258545903053,2004.3436461245612,944.5395182620259,63,-18.567896278941475,1553.538608920269,-14.131604813512395
137,0.5,0.3,False,True,24.24241143377883,25.040344395834328,950.1442115600798,0,-25.613377006141604,37.507987929401494,-19.493760432128617
116,0.3,0.5,False,False,74.97254897003972,0.0,899.0351668858278,0,-25.992284144132213,57.05990694852721,-19.78213806278004
142,0.5,0.5,True,False,43.463653456411606,0.0,923.2667268332293,0,-33.269619710358825,33.07920106673899,-25.320753141854333
140,0.5,0.5,False,False,43.463653456411606,0.0,923.2667268332293,0,-33.269619710358825,33.07920106673899,-25.320753141854333
123,0.5,0.05,True,True,10.856274152050014,73.32053257978268,920.8380413316227,4,-68.30568451632678,64.0650588158866,-51.985907590184446
27,0.1,0.05,True,True,13.963247611062783,1720.6153664969427,914.063697115801,58,-71.97305527313506,1320.1484500074844,-54.77706031213413
11,0.05,0.15,True,True,14.295397804586946,1030.0360129768258,900.2530797960086,32,-85.45152239940035,794.8169555556221,-65.03521600510426
7,0.05,0.1,True,True,7.792544351930731,1891.9975529096707,902.7853386446787,63,-89.42211700338851,1445.8871635110047,-68.05714552125846
131,0.5,0.15,True,True,4.865922111304423,69.39514217618398,855.6710073934723,2,-139.46307049522318,56.518412090217076,-106.1421804985365
138,0.5,0.3,True,False,25.78159882583572,32.90378449835054,819.3598693132848,1,-154.85853186087968,44.664114502160864,-117.85931703747224
71,0.15,0.5,True,True,23.57297042795341,85.59231749762742,814.3973618435361,3,-162.02966772851016,83.08322521529871,-123.31710593412245
139,0.5,0.3,True,True,0.21883183659896993,56.227279150567824,828.4193394492753,1,-171.36182871412598,42.959855104047,-130.41960204480827
95,0.2,0.5,True,True,19.614090352460718,76.76969690524713,802.4257591046396,2,-177.96015054289944,73.35551488944577,-135.4414351655777
